Manufacturer,Category,Leather interior,Fuel type,Engine volume,Mileage(in km),Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
LEXUS,Jeep,1,Hybrid,3.5,18,6,Automatic,4x4,4-doors,Left wheel,Silver,12,1079568
CHEVROLET,Jeep,2,Petrol,3,19,6,Tiptronic,4x4,4-doors,Left wheel,Black,8,1346301
HONDA,Hatchback,2,Petrol,1.3,21,4,Variator,Front,4-doors,Right-hand drive,Black,2,685827
FORD,Jeep,1,Hybrid,2.5,16,4,Automatic,4x4,4-doors,Left wheel,White,0,292167
HONDA,Hatchback,1,Petrol,1.3,25,4,Automatic,Front,4-doors,Left wheel,Silver,4,949806
HYUNDAI,Jeep,1,Diesel,2,23,4,Automatic,Front,4-doors,Left wheel,White,4,3198933
TOYOTA,Hatchback,1,Hybrid,1.8,25,4,Automatic,Front,4-doors,Left wheel,White,12,146043
HYUNDAI,Sedan,1,Petrol,2.4,21,4,Automatic,Front,4-doors,Left wheel,Grey,12,44469
TOYOTA,Sedan,1,Hybrid,2.5,30,4,Automatic,Front,4-doors,Left wheel,Black,12,88938
LEXUS,Jeep,1,Petrol,3.5,12,6,Automatic,4x4,4-doors,Left wheel,Silver,12,2159217
MERCEDES-BENZ,Sedan,1,Diesel,3.5,18,6,Automatic,Rear,4-doors,Left wheel,White,12,76221
FORD,Microbus,2,CNG,4,10,8,Manual,Rear,2-doors,Left wheel,Blue,0,711261
OPEL,Goods wagon,2,CNG,1.6,15,4,Manual,Front,4-doors,Left wheel,White,4,243000
LEXUS,Jeep,1,Hybrid,3.5,18,6,Automatic,Front,4-doors,Left wheel,White,12,82539
HYUNDAI,Jeep,1,Diesel,2,19,4,Automatic,Front,4-doors,Left wheel,White,4,4816584
TOYOTA,Jeep,1,Petrol,2,21,4,Automatic,Front,4-doors,Left wheel,White,12,44469
HYUNDAI,Sedan,1,Petrol,1.8,16,4,Automatic,Front,4-doors,Left wheel,Blue,12,622323
HYUNDAI,Sedan,1,Petrol,1.8,25,4,Automatic,Front,4-doors,Left wheel,White,4,2298942
HYUNDAI,Sedan,1,Petrol,3.3,23,6,Automatic,Rear,4-doors,Left wheel,Blue,12,44469
LEXUS,Jeep,1,Hybrid,3.5,25,6,Automatic,4x4,4-doors,Left wheel,Black,12,76221
